loan_id,business_id,credit_officer_id,dismissal_description,acquisition_channel,sector,principal,total_owing_at_issue,application_number,applying_for_loan_number,loan_number,employee_count,approval_status,paid_late,total_recovered_on_time,total_recovered_15_dpd,cash_yield_15_dpd
860706,604923,131449,,Friend,Beauty Fashion,300000.0,345500.0,1,1,1,1,Approved,false,345500.0,345500.0,45500.0
975605,604923,131449,,Friend,Beauty Fashion,330000.0,380000.0,2,2,2,1,Approved,false,380000.0,380000.0,50000.0
126416,122438,,Client does not have all of the requirements,Friend,Food Staple Goods,300000.0,,1,1,,1,Declined,false,,,
127617,122438,108019,,Friend,Food Staple Goods,200000.0,221100.0,2,1,1,1,Approved,false,221100.0,221100.0,21100.0
148416,122438,108019,,Friend,Food Staple Goods,220000.0,243200.0,3,2,2,1,Approved,false,243200.0,243200.0,23200.0
172015,122438,108019,,Friend,Food Staple Goods,242000.0,269000.0,4,3,3,1,Approved,false,269000.0,269000.0,27000.0
202481,122438,108019,,Friend,Food Staple Goods,266200.0,295800.0,5,4,4,1,Approved,true,200000.0,295800.0,29600.0
244947,122438,108019,,Friend,Food Staple Goods,292800.0,343100.0,6,5,5,1,Approved,false,343100.0,343100.0,50300.0
289710,122438,108019,,Friend,Food Staple Goods,322100.0,367800.0,7,6,6,1,Approved,false,367800.0,367800.0,45700.0
325580,122438,108019,,Friend,Food Staple Goods,350000.0,399600.0,8,7,7,1,Approved,false,399600.0,399600.0,49600.0
353969,122438,108019,,Friend,Food Staple Goods,389000.0,444200.0,9,8,8,1,Approved,false,444200.0,444200.0,55200.0
383800,122438,108019,Client travelling away from business,Friend,Food Staple Goods,428700.0,,10,9,,1,Cancelled,false,,,
387069,122438,108019,,Friend,Food Staple Goods,428700.0,489400.0,11,9,9,1,Approved,false,489400.0,489400.0,60700.0
429805,122438,108019,,Friend,Food Staple Goods,470000.0,536600.0,12,10,10,1,Approved,false,536600.0,536600.0,66600.0
466316,122438,108019,,Friend,Food Staple Goods,510000.0,582300.0,13,11,11,1,Approved,false,582300.0,582300.0,72300.0
503410,122438,108019,,Friend,Food Staple Goods,570000.0,650800.0,14,12,12,1,Approved,false,650800.0,650800.0,80800.0
533440,122438,108019,,Friend,Food Staple Goods,620000.0,712700.0,15,13,13,1,Approved,false,712700.0,712700.0,92700.0
567220,122438,108019,,Friend,Food Staple Goods,680000.0,781600.0,16,14,14,1,Approved,false,781600.0,781600.0,101600.0
596993,122438,108019,,Friend,Food Staple Goods,730000.0,838900.0,17,15,15,1,Approved,false,838900.0,838900.0,108900.0
631515,122438,108019,,Friend,Food Staple Goods,770000.0,884800.0,18,16,16,1,Approved,false,884800.0,884800.0,114800.0
662431,122438,108019,,Friend,Food Staple Goods,790000.0,,19,17,,1,Declined,false,,,
666726,122438,108019,,Friend,Food Staple Goods,790000.0,907800.0,20,17,17,1,Approved,false,907800.0,907800.0,117800.0
699117,122438,108019,,Friend,Food Staple Goods,800000.0,919200.0,21,18,18,1,Approved,false,919200.0,919200.0,119200.0
731186,122438,108019,,Friend,Food Staple Goods,820000.0,942200.0,22,19,19,1,Approved,false,942200.0,942200.0,122200.0
762708,122438,279289,,Friend,Food Staple Goods,820000.0,943800.0,23,20,20,1,Approved,false,943800.0,943800.0,123800.0
797008,122438,279289,,Friend,Food Staple Goods,850000.0,978300.0,24,21,21,1,Approved,false,978300.0,978300.0,128300.0
833419,122438,279289,,Friend,Food Staple Goods,920000.0,1058700.0,25,22,22,1,Approved,false,1058700.0,1058700.0,138700.0
866492,122438,279289,,Friend,Food Staple Goods,1020000.0,1173700.0,26,23,23,1,Approved,false,1173700.0,1173700.0,153700.0
895141,122438,279289,,Friend,Food Staple Goods,1138600.0,1310000.0,27,24,24,1,Approved,false,1310000.0,1310000.0,171400.0
924166,122438,279289,,Friend,Food Staple Goods,1250000.0,1476100.0,28,25,25,1,Approved,false,1476100.0,1476100.0,226100.0
953103,122438,279289,,Friend,Food Staple Goods,1350000.0,1594100.0,29,26,26,1,Approved,false,1594100.0,1594100.0,244100.0
960599,675619,279290,,Sales Team,Metal and Woodworking,400000.0,460600.0,1,1,1,,Approved,false,460600.0,460600.0,60600.0
405412,312482,,Unable to contact client,Friend,Mobile Money Airtime,260000.0,,1,1,,1,Cancelled,false,,,
406881,312482,279288,,Friend,Mobile Money Airtime,150000.0,175800.0,2,1,1,1,Approved,false,175800.0,175800.0,25800.0
430119,312482,279288,,Friend,Mobile Money Airtime,161500.0,179500.0,3,2,2,1,Approved,false,179500.0,179500.0,18000.0
467575,312482,279288,,Friend,Mobile Money Airtime,177600.0,197400.0,4,3,3,1,Approved,false,197400.0,197400.0,19800.0
503879,312482,279288,,Friend,Mobile Money Airtime,195400.0,217100.0,5,4,4,1,Approved,false,217100.0,217100.0,21700.0
532818,312482,279288,,Friend,Mobile Money Airtime,214900.0,240500.0,6,5,5,1,Approved,false,240500.0,240500.0,25600.0
563206,312482,279288,,Friend,Mobile Money Airtime,236400.0,264500.0,7,6,6,1,Approved,false,264500.0,264500.0,28100.0
595175,312482,108022,,Friend,Mobile Money Airtime,260000.0,290900.0,8,7,7,1,Approved,false,290900.0,290900.0,30900.0
626666,312482,108022,,Friend,Mobile Money Airtime,286000.0,320000.0,9,8,8,1,Approved,false,320000.0,320000.0,34000.0
651869,312482,108022,,Friend,Mobile Money Airtime,311500.0,348600.0,10,9,9,1,Approved,true,0,348600.0,37100.0
683482,312482,108022,,Friend,Mobile Money Airtime,342600.0,390300.0,11,10,10,1,Approved,false,390300.0,390300.0,47700.0
714416,312482,108022,,Friend,Mobile Money Airtime,376900.0,429400.0,12,11,11,1,Approved,false,429400.0,429400.0,52500.0
741834,312482,108022,,Friend,Mobile Money Airtime,411600.0,460600.0,13,12,12,1,Approved,false,460600.0,460600.0,49000.0
775399,312482,108022,,Friend,Mobile Money Airtime,452800.0,507600.0,14,13,13,1,Approved,false,507600.0,507600.0,54800.0
812217,312482,108022,,Friend,Mobile Money Airtime,498100.0,558400.0,15,14,14,1,Approved,false,558400.0,558400.0,60300.0
839928,312482,108022,,Friend,Mobile Money Airtime,543900.0,609800.0,16,15,15,1,Approved,false,609800.0,609800.0,65900.0
870995,312482,108022,,Friend,Mobile Money Airtime,598300.0,670700.0,17,16,16,1,Approved,false,670700.0,670700.0,72400.0
899243,312482,108022,,Friend,Mobile Money Airtime,658100.0,737700.0,18,17,17,1,Approved,false,737700.0,737700.0,79600.0
927969,312482,108022,,Friend,Mobile Money Airtime,723900.0,811300.0,19,18,18,1,Approved,true,0,144000.0,-523900.0
932196,654630,137987,,Friend,Hospitality,540000.0,605400.0,1,1,1,,Approved,false,605400.0,605400.0,65400.0
964923,654630,137987,,Friend,Hospitality,594000.0,665900.0,2,2,2,,Approved,false,665900.0,665900.0,71900.0
950618,665745,279290,,Friend,School,360000.0,414500.0,1,1,1,,Approved,false,414500.0,414500.0,54500.0
894872,628210,137991,,Facebook,Food Staple Goods,312000.0,359300.0,1,1,1,,Approved,false,359300.0,359300.0,47300.0
927705,628210,137991,,Facebook,Food Staple Goods,343000.0,388000.0,2,2,2,,Approved,false,388000.0,388000.0,45000.0
962825,628210,137991,,Facebook,Food Staple Goods,60000.0,67200.0,3,3,3,,Approved,false,67200.0,67200.0,7200.0
972467,628210,137991,,Facebook,Food Staple Goods,392000.0,439500.0,4,4,4,,Approved,false,439500.0,439500.0,47500.0
698597,489901,57802,,Friend,Phones Electronics,260000.0,298900.0,1,1,1,2,Approved,false,298900.0,298900.0,38900.0
732359,489901,57802,,Friend,Phones Electronics,286000.0,320000.0,2,2,2,2,Approved,false,320000.0,320000.0,34000.0
763669,489901,57802,,Friend,Phones Electronics,348800.0,391100.0,3,3,3,2,Approved,false,391100.0,391100.0,42300.0
796736,489901,57802,,Friend,Phones Electronics,536000.0,600900.0,4,4,4,2,Approved,false,600900.0,600900.0,64900.0
830422,489901,137987,,Friend,Phones Electronics,857600.0,961000.0,5,5,5,2,Approved,false,961000.0,961000.0,103400.0
863829,489901,137987,,Friend,Phones Electronics,850000.0,952400.0,6,6,6,2,Approved,false,952400.0,952400.0,102400.0
892757,489901,137987,,Friend,Phones Electronics,1200000.0,1344000.0,7,7,7,2,Approved,false,1344000.0,1344000.0,144000.0
920037,489901,137987,,Friend,Phones Electronics,1530600.0,1713900.0,8,8,8,2,Approved,false,1713900.0,1713900.0,183300.0
950509,489901,57802,,Friend,Phones Electronics,1607100.0,1799400.0,9,9,9,2,Approved,false,1799400.0,1799400.0,192300.0
981077,489901,57802,,Friend,Phones Electronics,1687500.0,1889400.0,10,10,10,2,Approved,false,1889400.0,1889400.0,201900.0
764915,286498,279292,,Friend,Mobile Money Airtime,700000.0,827300.0,1,1,1,1,Approved,false,827300.0,827300.0,127300.0
799053,286498,279292,,Friend,Mobile Money Airtime,714000.0,822000.0,2,2,2,1,Approved,false,822000.0,822000.0,108000.0
831310,286498,279292,,Friend,Mobile Money Airtime,714000.0,822000.0,3,3,3,1,Approved,false,822000.0,822000.0,108000.0
865344,286498,279292,,Friend,Mobile Money Airtime,785400.0,904100.0,4,4,4,1,Approved,false,904100.0,904100.0,118700.0
894560,286498,279292,,Friend,Mobile Money Airtime,863900.0,994300.0,5,5,5,1,Approved,false,994300.0,994300.0,130400.0
923985,286498,279292,,Friend,Mobile Money Airtime,950300.0,1093600.0,6,6,6,1,Approved,false,1093600.0,1093600.0,143300.0
953510,286498,279292,,Friend,Mobile Money Airtime,1045300.0,1202800.0,7,7,7,1,Approved,false,1202800.0,1202800.0,157500.0
919198,645363,201649,,Friend,Mobile Money Airtime,576000.0,645800.0,1,1,1,,Approved,false,645800.0,645800.0,69800.0
937621,645363,201649,,Friend,Mobile Money Airtime,618200.0,693100.0,2,2,2,,Approved,false,693100.0,693100.0,74900.0
962191,645363,201649,,Friend,Mobile Money Airtime,675000.0,756600.0,3,3,3,,Approved,false,756600.0,756600.0,81600.0
520273,387101,137990,Client does not have all of the requirements,Friend,Mobile Money Airtime,230000.0,,1,1,,1,Declined,false,,,
663383,387101,137990,,Friend,Mobile Money Airtime,230000.0,,2,1,,1,Declined,false,,,
665487,387101,137990,,Friend,Mobile Money Airtime,230000.0,,3,1,,1,Declined,false,,,
849908,387101,137990,,Friend,Mobile Money Airtime,230000.0,,4,1,,1,Declined,false,,,
938747,387101,131450,,Friend,Mobile Money Airtime,230000.0,264900.0,5,1,1,1,Approved,false,264900.0,264900.0,34900.0
967798,387101,131450,,Friend,Mobile Money Airtime,253000.0,291300.0,6,2,2,1,Approved,false,291300.0,291300.0,38300.0
981251,690844,245781,,Friend,Beauty Fashion,370000.0,426000.0,1,1,1,,Approved,false,426000.0,426000.0,56000.0
