loan_id,paid_at,amount,transaction_type
834148,2023-11-25 17:44,200000.0,Deposit
4028,2019-02-09 16:55,1036300.0,
4798,2019-04-25 15:50,1228500.0,
2082,2018-08-22 10:41,50000.0,
3802,2019-01-05 16:00,1384600.0,
2082,2018-09-05 07:53,50000.0,
2296,2018-07-24 10:12,50000.0,
2296,2018-07-13 23:14,50000.0,
4851,2019-05-01 18:28,312200.0,
4851,2019-04-20 14:05,100000.0,
2296,2018-07-14 18:26,50000.0,
838416,2023-11-25 17:52,380000.0,Deposit
8810,2019-10-08 08:07,30000.0,
2443,2018-08-15 18:31,100000.0,
2082,2018-09-05 15:16,10000.0,
2082,2018-09-06 11:58,7700.0,
2780,2018-09-30 16:33,751300.0,
4028,2019-03-11 17:06,1036300.0,
2296,2018-07-28 11:08,76900.0,
2443,2018-08-28 11:45,287000.0,
2082,2018-06-26 15:41,150000.0,
3511,2018-12-01 19:05,1124700.0,
2082,2018-06-27 13:08,80000.0,
2296,2018-07-19 06:07,50000.0,
2082,2018-08-29 21:30,120000.0,
2082,2018-08-20 14:59,50000.0,
4028,2019-03-26 12:29,1036300.0,
4552,2019-03-31 19:51,239600.0,
3144,2018-10-31 11:16,810200.0,
2443,2018-08-12 11:59,100000.0,
2082,2018-09-01 15:57,50000.0,
619,2017-09-19 13:05,10000.0,
619,2017-09-22 09:08,10000.0,
619,2017-09-30 14:43,10000.0,
619,2017-10-03 09:36,20000.0,
619,2017-10-05 19:59,20000.0,
619,2017-10-09 12:32,20000.0,
619,2017-10-11 06:45,40000.0,
619,2017-10-11 15:43,67600.0,
1731,2018-03-02 07:43,390800.0,
1222,2017-11-08 09:35,5000.0,
1222,2017-11-10 15:19,100000.0,
1222,2017-11-13 09:18,7000.0,
1222,2017-11-14 05:38,30000.0,
1222,2017-11-16 14:20,10000.0,
1222,2017-11-17 05:33,94100.0,
1308,2017-12-04 14:31,50000.0,
1308,2017-12-05 15:41,50000.0,
1308,2017-12-08 07:56,231500.0,
1540,2018-01-19 08:17,30000.0,
1540,2018-01-25 11:55,20000.0,
1540,2018-01-29 09:06,90000.0,
1540,2018-01-30 07:23,186200.0,
1432,2017-12-22 14:00,20000.0,
1432,2017-12-26 08:45,79800.0,
1432,2018-01-03 07:14,229900.0,
